epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,2,85,100,0.2059907466173172,0.06233182176947594,0.17403548955917358,0.32809266448020935,1.3670921325683594,5
100,6,2,20,80,0.20709243416786194,0.06549922376871109,0.17612424492835999,0.3231556713581085,1.3670921325683594,5
100,12,2,74,100,0.2180306613445282,0.07218831032514572,0.1791316419839859,0.3336576223373413,1.3670921325683594,5
100,24,2,30,90,0.21287576854228973,0.06933317333459854,0.17976437509059906,0.31469231843948364,1.3670921325683594,5
200,2,2,85,145,0.2059907466173172,0.06233182176947594,0.17403548955917358,0.32809266448020935,1.3670921325683594,5
200,6,2,20,80,0.20709243416786194,0.06549922376871109,0.17612424492835999,0.3231556713581085,1.3670921325683594,5
200,12,2,74,134,0.2180306613445282,0.07218831032514572,0.1791316419839859,0.3336576223373413,1.3670921325683594,5
200,24,2,30,90,0.21287576854228973,0.06933317333459854,0.17976437509059906,0.31469231843948364,1.3670921325683594,5
400,2,2,85,145,0.2059907466173172,0.06233182176947594,0.17403548955917358,0.32809266448020935,1.3670921325683594,5
400,6,2,20,80,0.20709243416786194,0.06549922376871109,0.17612424492835999,0.3231556713581085,1.3670921325683594,5
400,12,2,74,134,0.2180306613445282,0.07218831032514572,0.1791316419839859,0.3336576223373413,1.3670921325683594,5
400,24,2,30,90,0.21287576854228973,0.06933317333459854,0.17976437509059906,0.31469231843948364,1.3670921325683594,5
500,2,2,85,145,0.2059907466173172,0.06233182176947594,0.17403548955917358,0.32809266448020935,1.3670921325683594,5
500,6,2,20,80,0.20709243416786194,0.06549922376871109,0.17612424492835999,0.3231556713581085,1.3670921325683594,5
500,12,2,74,134,0.2180306613445282,0.07218831032514572,0.1791316419839859,0.3336576223373413,1.3670921325683594,5
500,24,2,30,90,0.21287576854228973,0.06933317333459854,0.17976437509059906,0.31469231843948364,1.3670921325683594,5
1000,2,2,85,145,0.2059907466173172,0.06233182176947594,0.17403548955917358,0.32809266448020935,1.3670921325683594,5
1000,6,2,20,80,0.20709243416786194,0.06549922376871109,0.17612424492835999,0.3231556713581085,1.3670921325683594,5
1000,12,2,74,134,0.2180306613445282,0.07218831032514572,0.1791316419839859,0.3336576223373413,1.3670921325683594,5
1000,24,2,30,90,0.21287576854228973,0.06933317333459854,0.17976437509059906,0.31469231843948364,1.3670921325683594,5
