epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,2,77,100,0.2057749330997467,0.06258510053157806,0.1737181544303894,0.3313322961330414,1.3670921325683594,10
100,6,2,20,80,0.20690949261188507,0.06561756879091263,0.1757730394601822,0.32549333572387695,1.3670921325683594,10
100,12,2,72,100,0.2191610485315323,0.07123099267482758,0.17882491648197174,0.3349037766456604,1.3670921325683594,10
100,24,2,1,61,0.21332643926143646,0.06900274008512497,0.1797385811805725,0.31402283906936646,1.3670921325683594,10
200,2,2,77,137,0.2057749330997467,0.06258510053157806,0.1737181544303894,0.3313322961330414,1.3670921325683594,10
200,6,2,20,80,0.20690949261188507,0.06561756879091263,0.1757730394601822,0.32549333572387695,1.3670921325683594,10
200,12,2,72,132,0.2191610485315323,0.07123099267482758,0.17882491648197174,0.3349037766456604,1.3670921325683594,10
200,24,2,1,61,0.21332643926143646,0.06900274008512497,0.1797385811805725,0.31402283906936646,1.3670921325683594,10
400,2,2,77,137,0.2057749330997467,0.06258510053157806,0.1737181544303894,0.3313322961330414,1.3670921325683594,10
400,6,2,20,80,0.20690949261188507,0.06561756879091263,0.1757730394601822,0.32549333572387695,1.3670921325683594,10
400,12,2,72,132,0.2191610485315323,0.07123099267482758,0.17882491648197174,0.3349037766456604,1.3670921325683594,10
400,24,2,1,61,0.21332643926143646,0.06900274008512497,0.1797385811805725,0.31402283906936646,1.3670921325683594,10
500,2,2,77,137,0.2057749330997467,0.06258510053157806,0.1737181544303894,0.3313322961330414,1.3670921325683594,10
500,6,2,20,80,0.20690949261188507,0.06561756879091263,0.1757730394601822,0.32549333572387695,1.3670921325683594,10
500,12,2,72,132,0.2191610485315323,0.07123099267482758,0.17882491648197174,0.3349037766456604,1.3670921325683594,10
500,24,2,1,61,0.21332643926143646,0.06900274008512497,0.1797385811805725,0.31402283906936646,1.3670921325683594,10
1000,2,2,77,137,0.2057749330997467,0.06258510053157806,0.1737181544303894,0.3313322961330414,1.3670921325683594,10
1000,6,2,20,80,0.20690949261188507,0.06561756879091263,0.1757730394601822,0.32549333572387695,1.3670921325683594,10
1000,12,2,72,132,0.2191610485315323,0.07123099267482758,0.17882491648197174,0.3349037766456604,1.3670921325683594,10
1000,24,2,1,61,0.21332643926143646,0.06900274008512497,0.1797385811805725,0.31402283906936646,1.3670921325683594,10
