epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,6,4,64,0.2088037133216858,0.06646554917097092,0.1749924123287201,0.3358960747718811,1.3670921325683594,2
100,6,6,16,76,0.20830278098583221,0.06639989465475082,0.17549100518226624,0.3298882246017456,1.3670921325683594,2
100,12,6,26,86,0.20685096085071564,0.06713629513978958,0.17905369400978088,0.29982790350914,1.3670921325683594,2
100,24,6,36,96,0.21617986261844635,0.07141649723052979,0.17950105667114258,0.3298451900482178,1.3670921325683594,2
200,2,6,4,64,0.2088037133216858,0.06646554917097092,0.1749924123287201,0.3358960747718811,1.3670921325683594,2
200,6,6,16,76,0.20830278098583221,0.06639989465475082,0.17549100518226624,0.3298882246017456,1.3670921325683594,2
200,12,6,26,86,0.20685096085071564,0.06713629513978958,0.17905369400978088,0.29982790350914,1.3670921325683594,2
200,24,6,36,96,0.21617986261844635,0.07141649723052979,0.17950105667114258,0.3298451900482178,1.3670921325683594,2
400,2,6,4,64,0.2088037133216858,0.06646554917097092,0.1749924123287201,0.3358960747718811,1.3670921325683594,2
400,6,6,16,76,0.20830278098583221,0.06639989465475082,0.17549100518226624,0.3298882246017456,1.3670921325683594,2
400,12,6,26,86,0.20685096085071564,0.06713629513978958,0.17905369400978088,0.29982790350914,1.3670921325683594,2
400,24,6,36,96,0.21617986261844635,0.07141649723052979,0.17950105667114258,0.3298451900482178,1.3670921325683594,2
500,2,6,4,64,0.2088037133216858,0.06646554917097092,0.1749924123287201,0.3358960747718811,1.3670921325683594,2
500,6,6,16,76,0.20830278098583221,0.06639989465475082,0.17549100518226624,0.3298882246017456,1.3670921325683594,2
500,12,6,26,86,0.20685096085071564,0.06713629513978958,0.17905369400978088,0.29982790350914,1.3670921325683594,2
500,24,6,36,96,0.21617986261844635,0.07141649723052979,0.17950105667114258,0.3298451900482178,1.3670921325683594,2
1000,2,6,4,64,0.2088037133216858,0.06646554917097092,0.1749924123287201,0.3358960747718811,1.3670921325683594,2
