epochs,hidden,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true
100,2,100,100,1549.316650390625,1183.1883544921875,1332.6114501953125,0.622967541217804,35.327911376953125
100,6,100,100,1532.36669921875,1165.8978271484375,1316.317626953125,0.9085748195648193,35.327911376953125
100,12,100,100,1258.936767578125,886.4321899414062,1054.522705078125,5.972256183624268,35.327911376953125
200,2,200,200,1527.6231689453125,1161.0579833984375,1311.7586669921875,0.9890018701553345,35.327911376953125
200,6,200,200,1479.0970458984375,1111.5360107421875,1265.1529541015625,1.8247153759002686,35.327911376953125
200,12,148,168,660.789306640625,258.2782897949219,514.2188110351562,31.146705627441406,35.327911376953125
