epochs,hidden,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true
100,2,90,100,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0
100,6,54,100,0.03830147162079811,0.08628249168395996,0.0415443554520607,0.18177831172943115,0.0
100,12,0,60,0.03709310293197632,0.08620944619178772,0.039884600788354874,0.174959197640419,0.0
100,24,22,82,0.03242180868983269,0.08725469559431076,0.03294048085808754,0.1406235545873642,0.0
200,2,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0
200,6,54,114,0.03830147162079811,0.08628249168395996,0.0415443554520607,0.18177831172943115,0.0
200,12,0,60,0.03709310293197632,0.08620944619178772,0.039884600788354874,0.174959197640419,0.0
200,24,22,82,0.03242180868983269,0.08725469559431076,0.03294048085808754,0.1406235545873642,0.0
400,2,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0
400,6,54,114,0.03830147162079811,0.08628249168395996,0.0415443554520607,0.18177831172943115,0.0
400,12,0,60,0.03709310293197632,0.08620944619178772,0.039884600788354874,0.174959197640419,0.0
400,24,22,82,0.03242180868983269,0.08725469559431076,0.03294048085808754,0.1406235545873642,0.0
500,2,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0
500,6,54,114,0.03830147162079811,0.08628249168395996,0.0415443554520607,0.18177831172943115,0.0
500,12,0,60,0.03709310293197632,0.08620944619178772,0.039884600788354874,0.174959197640419,0.0
500,24,22,82,0.03242180868983269,0.08725469559431076,0.03294048085808754,0.1406235545873642,0.0
1000,2,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0
1000,6,54,114,0.03830147162079811,0.08628249168395996,0.0415443554520607,0.18177831172943115,0.0
1000,12,0,60,0.03709310293197632,0.08620944619178772,0.039884600788354874,0.174959197640419,0.0
1000,24,22,82,0.03242180868983269,0.08725469559431076,0.03294048085808754,0.1406235545873642,0.0
