epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true
100,2,2,100,100,0.20335783064365387,0.06317000836133957,0.17211979627609253,0.3510761559009552,0.21710097789764404,0.33307912945747375,0.33205899596214294,1.3670921325683594
100,6,2,20,80,0.20751075446605682,0.06543832272291183,0.1763656735420227,0.35201743245124817,0.2168097048997879,0.32901036739349365,0.3198995590209961,1.3670921325683594
100,12,2,76,100,0.2156483232975006,0.07614355534315109,0.18191316723823547,0.3639463484287262,0.20564603805541992,0.33536073565483093,0.2991296648979187,1.3670921325683594
100,24,2,29,89,0.21264854073524475,0.0704236552119255,0.1809985339641571,0.35586488246917725,0.20936910808086395,0.3314877152442932,0.30264782905578613,1.3670921325683594
200,2,2,151,200,0.2015567570924759,0.0629630982875824,0.171068012714386,0.3474951982498169,0.21599125862121582,0.3303884267807007,0.33057940006256104,1.3670921325683594
200,6,2,20,80,0.20751075446605682,0.06543832272291183,0.1763656735420227,0.35201743245124817,0.2168097048997879,0.32901036739349365,0.3198995590209961,1.3670921325683594
200,12,2,76,136,0.2156483232975006,0.07614355534315109,0.18191316723823547,0.3639463484287262,0.20564603805541992,0.33536073565483093,0.2991296648979187,1.3670921325683594
200,24,2,29,89,0.21264854073524475,0.0704236552119255,0.1809985339641571,0.35586488246917725,0.20936910808086395,0.3314877152442932,0.30264782905578613,1.3670921325683594
400,2,2,151,211,0.2015567570924759,0.0629630982875824,0.171068012714386,0.3474951982498169,0.21599125862121582,0.3303884267807007,0.33057940006256104,1.3670921325683594
400,6,2,20,80,0.20751075446605682,0.06543832272291183,0.1763656735420227,0.35201743245124817,0.2168097048997879,0.32901036739349365,0.3198995590209961,1.3670921325683594
400,12,2,76,136,0.2156483232975006,0.07614355534315109,0.18191316723823547,0.3639463484287262,0.20564603805541992,0.33536073565483093,0.2991296648979187,1.3670921325683594
400,24,2,29,89,0.21264854073524475,0.0704236552119255,0.1809985339641571,0.35586488246917725,0.20936910808086395,0.3314877152442932,0.30264782905578613,1.3670921325683594
500,2,2,151,211,0.2015567570924759,0.0629630982875824,0.171068012714386,0.3474951982498169,0.21599125862121582,0.3303884267807007,0.33057940006256104,1.3670921325683594
500,6,2,20,80,0.20751075446605682,0.06543832272291183,0.1763656735420227,0.35201743245124817,0.2168097048997879,0.32901036739349365,0.3198995590209961,1.3670921325683594
500,12,2,76,136,0.2156483232975006,0.07614355534315109,0.18191316723823547,0.3639463484287262,0.20564603805541992,0.33536073565483093,0.2991296648979187,1.3670921325683594
500,24,2,29,89,0.21264854073524475,0.0704236552119255,0.1809985339641571,0.35586488246917725,0.20936910808086395,0.3314877152442932,0.30264782905578613,1.3670921325683594
1000,2,2,151,211,0.2015567570924759,0.0629630982875824,0.171068012714386,0.3474951982498169,0.21599125862121582,0.3303884267807007,0.33057940006256104,1.3670921325683594
1000,6,2,20,80,0.20751075446605682,0.06543832272291183,0.1763656735420227,0.35201743245124817,0.2168097048997879,0.32901036739349365,0.3198995590209961,1.3670921325683594
1000,12,2,76,136,0.2156483232975006,0.07614355534315109,0.18191316723823547,0.3639463484287262,0.20564603805541992,0.33536073565483093,0.2991296648979187,1.3670921325683594
1000,24,2,29,89,0.21264854073524475,0.0704236552119255,0.1809985339641571,0.35586488246917725,0.20936910808086395,0.3314877152442932,0.30264782905578613,1.3670921325683594
