epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true
100,2,4,100,100,0.3617500066757202,0.2511681318283081,0.4008641541004181,0.39362895488739014,0.42985376715660095,0.4768161177635193,-0.10242560505867004,1.3670921325683594
100,6,4,100,100,0.21646158397197723,0.0844804048538208,0.20643417537212372,0.3038995563983917,0.19375483691692352,0.3189076781272888,0.19294190406799316,1.3670921325683594
100,12,4,58,100,0.20688234269618988,0.06715027242898941,0.17905570566654205,0.3406923711299896,0.2071043699979782,0.32234060764312744,0.29992491006851196,1.3670921325683594
100,24,4,14,74,0.20791572332382202,0.06640235334634781,0.1759984791278839,0.35133418440818787,0.21529996395111084,0.32801443338394165,0.3245115876197815,1.3670921325683594
200,2,4,200,200,0.30180370807647705,0.18503369390964508,0.3267074227333069,0.30821654200553894,0.34444138407707214,0.3914036750793457,-0.01701318472623825,1.3670921325683594
200,6,4,199,200,0.20853246748447418,0.07244238257408142,0.18906928598880768,0.3208281397819519,0.19375483691692352,0.31495335698127747,0.2496558278799057,1.3670921325683594
200,12,4,58,118,0.20688234269618988,0.06715027242898941,0.17905570566654205,0.3406923711299896,0.2071043699979782,0.32234060764312744,0.29992491006851196,1.3670921325683594
200,24,4,14,74,0.20791572332382202,0.06640235334634781,0.1759984791278839,0.35133418440818787,0.21529996395111084,0.32801443338394165,0.3245115876197815,1.3670921325683594
400,2,4,400,400,0.2366451472043991,0.11005989462137222,0.23900897800922394,0.28542646765708923,0.2089642435312271,0.328125923871994,0.11846394836902618,1.3670921325683594
400,6,4,392,400,0.20681984722614288,0.06798653304576874,0.18105711042881012,0.33578798174858093,0.20296931266784668,0.3194778859615326,0.2875197231769562,1.3670921325683594
400,12,4,58,118,0.20688234269618988,0.06715027242898941,0.17905570566654205,0.3406923711299896,0.2071043699979782,0.32234060764312744,0.29992491006851196,1.3670921325683594
400,24,4,14,74,0.20791572332382202,0.06640235334634781,0.1759984791278839,0.35133418440818787,0.21529996395111084,0.32801443338394165,0.3245115876197815,1.3670921325683594
500,2,4,500,500,0.22188444435596466,0.09168059378862381,0.2159385085105896,0.29762399196624756,0.19375483691692352,0.3207947015762329,0.16841010749340057,1.3670921325683594
500,6,4,469,500,0.20680737495422363,0.06778319925069809,0.18060633540153503,0.3368294835090637,0.20384745299816132,0.3200858235359192,0.2901540994644165,1.3670921325683594
500,12,4,58,118,0.20688234269618988,0.06715027242898941,0.17905570566654205,0.3406923711299896,0.2071043699979782,0.32234060764312744,0.29992491006851196,1.3670921325683594
500,24,4,14,74,0.20791572332382202,0.06640235334634781,0.1759984791278839,0.35133418440818787,0.21529996395111084,0.32801443338394165,0.3245115876197815,1.3670921325683594
1000,2,4,990,1000,0.20696590840816498,0.06878114491701126,0.18269246816635132,0.3322490453720093,0.19998550415039062,0.3174121677875519,0.2785682678222656,1.3670921325683594
1000,6,4,469,529,0.20680737495422363,0.06778319925069809,0.18060633540153503,0.3368294835090637,0.20384745299816132,0.3200858235359192,0.2901540994644165,1.3670921325683594
1000,12,4,58,118,0.20688234269618988,0.06715027242898941,0.17905570566654205,0.3406923711299896,0.2071043699979782,0.32234060764312744,0.29992491006851196,1.3670921325683594
1000,24,4,14,74,0.20791572332382202,0.06640235334634781,0.1759984791278839,0.35133418440818787,0.21529996395111084,0.32801443338394165,0.3245115876197815,1.3670921325683594
