epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true
100,2,6,5,65,0.20689333975315094,0.06776982545852661,0.17530593276023865,0.35668057203292847,0.21189308166503906,0.33117058873176575,0.3102221190929413,1.3670921325683594
100,6,6,16,76,0.20736026763916016,0.0666990876197815,0.1750173270702362,0.3545414209365845,0.21288585662841797,0.3294702172279358,0.3178311586380005,1.3670921325683594
100,12,6,31,91,0.2059485912322998,0.06771143525838852,0.1784805953502655,0.34337136149406433,0.20524859428405762,0.32388147711753845,0.2915681004524231,1.3670921325683594
100,24,6,36,96,0.21468450129032135,0.07618142664432526,0.18228864669799805,0.36400097608566284,0.2058219164609909,0.3357715904712677,0.2909768223762512,1.3670921325683594
200,2,6,5,65,0.20689333975315094,0.06776982545852661,0.17530593276023865,0.35668057203292847,0.21189308166503906,0.33117058873176575,0.3102221190929413,1.3670921325683594
200,6,6,16,76,0.20736026763916016,0.0666990876197815,0.1750173270702362,0.3545414209365845,0.21288585662841797,0.3294702172279358,0.3178311586380005,1.3670921325683594
200,12,6,31,91,0.2059485912322998,0.06771143525838852,0.1784805953502655,0.34337136149406433,0.20524859428405762,0.32388147711753845,0.2915681004524231,1.3670921325683594
200,24,6,36,96,0.21468450129032135,0.07618142664432526,0.18228864669799805,0.36400097608566284,0.2058219164609909,0.3357715904712677,0.2909768223762512,1.3670921325683594
400,2,6,5,65,0.20689333975315094,0.06776982545852661,0.17530593276023865,0.35668057203292847,0.21189308166503906,0.33117058873176575,0.3102221190929413,1.3670921325683594
400,6,6,16,76,0.20736026763916016,0.0666990876197815,0.1750173270702362,0.3545414209365845,0.21288585662841797,0.3294702172279358,0.3178311586380005,1.3670921325683594
400,12,6,31,91,0.2059485912322998,0.06771143525838852,0.1784805953502655,0.34337136149406433,0.20524859428405762,0.32388147711753845,0.2915681004524231,1.3670921325683594
400,24,6,36,96,0.21468450129032135,0.07618142664432526,0.18228864669799805,0.36400097608566284,0.2058219164609909,0.3357715904712677,0.2909768223762512,1.3670921325683594
500,2,6,5,65,0.20689333975315094,0.06776982545852661,0.17530593276023865,0.35668057203292847,0.21189308166503906,0.33117058873176575,0.3102221190929413,1.3670921325683594
500,6,6,16,76,0.20736026763916016,0.0666990876197815,0.1750173270702362,0.3545414209365845,0.21288585662841797,0.3294702172279358,0.3178311586380005,1.3670921325683594
500,12,6,31,91,0.2059485912322998,0.06771143525838852,0.1784805953502655,0.34337136149406433,0.20524859428405762,0.32388147711753845,0.2915681004524231,1.3670921325683594
500,24,6,36,96,0.21468450129032135,0.07618142664432526,0.18228864669799805,0.36400097608566284,0.2058219164609909,0.3357715904712677,0.2909768223762512,1.3670921325683594
1000,2,6,5,65,0.20689333975315094,0.06776982545852661,0.17530593276023865,0.35668057203292847,0.21189308166503906,0.33117058873176575,0.3102221190929413,1.3670921325683594
1000,6,6,16,76,0.20736026763916016,0.0666990876197815,0.1750173270702362,0.3545414209365845,0.21288585662841797,0.3294702172279358,0.3178311586380005,1.3670921325683594
1000,12,6,31,91,0.2059485912322998,0.06771143525838852,0.1784805953502655,0.34337136149406433,0.20524859428405762,0.32388147711753845,0.2915681004524231,1.3670921325683594
1000,24,6,36,96,0.21468450129032135,0.07618142664432526,0.18228864669799805,0.36400097608566284,0.2058219164609909,0.3357715904712677,0.2909768223762512,1.3670921325683594
