epochs,hidden,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true
100,2,90,100,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0
100,6,54,100,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0
100,12,0,60,0.03688321262598038,0.08647090196609497,0.03981088101863861,0.17459139227867126,0.0
100,24,22,82,0.03368650749325752,0.08627321571111679,0.03376005217432976,0.1425914466381073,0.0
200,2,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0
200,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0
200,12,0,60,0.03688321262598038,0.08647090196609497,0.03981088101863861,0.17459139227867126,0.0
200,24,22,82,0.03368650749325752,0.08627321571111679,0.03376005217432976,0.1425914466381073,0.0
400,2,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0
400,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0
400,12,0,60,0.03688321262598038,0.08647090196609497,0.03981088101863861,0.17459139227867126,0.0
400,24,22,82,0.03368650749325752,0.08627321571111679,0.03376005217432976,0.1425914466381073,0.0
500,2,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0
500,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0
500,12,0,60,0.03688321262598038,0.08647090196609497,0.03981088101863861,0.17459139227867126,0.0
500,24,22,82,0.03368650749325752,0.08627321571111679,0.03376005217432976,0.1425914466381073,0.0
1000,2,90,150,0.038383226841688156,0.08629045635461807,0.041655443608760834,0.18222151696681976,0.0
1000,6,54,114,0.038301464170217514,0.08628249168395996,0.041544344276189804,0.18177828192710876,0.0
1000,12,0,60,0.03688321262598038,0.08647090196609497,0.03981088101863861,0.17459139227867126,0.0
1000,24,22,82,0.03368650749325752,0.08627321571111679,0.03376005217432976,0.1425914466381073,0.0
