epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true,modelo,k,target_date
100,2,2,100,100,1336.3375244140625,964.564453125,1127.6285400390625,27.57344627380371,26.584692001342773,26.556612014770508,4.3499755859375,35.327911376953125,GCN,2,2024-05-04
200,2,2,200,200,1072.762939453125,695.400146484375,876.8505249023438,25.015823364257812,21.489591598510742,24.662031173706055,9.900031089782715,35.327911376953125,GCN,2,2024-05-04
400,2,2,400,400,636.8827514648438,268.3026428222656,494.81976318359375,21.418720245361328,11.100296974182129,20.220970153808594,28.225088119506836,35.327911376953125,GCN,2,2024-05-04
500,2,2,453,500,629.5155639648438,264.4396057128906,494.1873474121094,21.486202239990234,11.8643217086792,19.752376556396484,30.161983489990234,35.327911376953125,GCN,2,2024-05-04
1000,2,2,453,513,629.5155639648438,264.4396057128906,494.1873474121094,21.486202239990234,11.8643217086792,19.752376556396484,30.161983489990234,35.327911376953125,GCN,2,2024-05-04
100,6,2,100,100,1273.7662353515625,900.3161010742188,1067.511474609375,26.944305419921875,25.34575080871582,26.076148986816406,5.5706467628479,35.327911376953125,GCN,2,2024-05-04
200,6,2,200,200,840.2937622070312,461.2730407714844,661.7305908203125,22.749731063842773,16.718793869018555,23.070608139038086,16.46881866455078,35.327911376953125,GCN,2,2024-05-04
400,6,2,335,395,629.1163940429688,264.55914306640625,494.0876159667969,21.47844123840332,11.874199867248535,19.753164291381836,30.171958923339844,35.327911376953125,GCN,2,2024-05-04
500,6,2,335,395,629.1163940429688,264.55914306640625,494.0876159667969,21.47844123840332,11.874199867248535,19.753164291381836,30.171958923339844,35.327911376953125,GCN,2,2024-05-04
1000,6,2,335,395,629.1163940429688,264.55914306640625,494.0876159667969,21.47844123840332,11.874199867248535,19.753164291381836,30.171958923339844,35.327911376953125,GCN,2,2024-05-04
100,12,2,100,100,1073.2889404296875,695.6494750976562,876.9043579101562,24.992145538330078,21.467344284057617,24.650787353515625,9.917179107666016,35.327911376953125,GCN,2,2024-05-04
200,12,2,200,200,642.146240234375,273.3840026855469,496.9547424316406,21.399999618530273,10.900317192077637,20.430213928222656,27.329906463623047,35.327911376953125,GCN,2,2024-05-04
400,12,2,231,291,628.490478515625,264.9513244628906,493.14093017578125,21.452070236206055,11.892014503479004,19.745820999145508,30.15719223022461,35.327911376953125,GCN,2,2024-05-04
