epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true
100,2,12,100,100,1573.28857421875,1207.635986328125,1355.6658935546875,30.215879440307617,30.81184959411621,29.067020416259766,0.22365373373031616,35.327911376953125
100,6,12,100,100,1567.8555908203125,1202.095703125,1350.4395751953125,30.125837326049805,30.721811294555664,28.976985931396484,0.3136896789073944,35.327911376953125
100,12,12,96,100,660.289306640625,258.61407470703125,512.107421875,22.09310531616211,11.131523132324219,20.030855178833008,30.445457458496094,35.327911376953125
100,24,12,92,100,660.3129272460938,258.4612731933594,512.4712524414062,22.110321044921875,11.131525993347168,19.99669075012207,30.59351348876953,35.327911376953125
200,2,12,200,200,1535.6578369140625,1169.25537109375,1319.48095703125,29.63692283630371,30.182601928710938,28.437772750854492,0.8529021739959717,35.327911376953125
200,6,12,200,200,1561.856689453125,1195.97802734375,1344.669921875,30.026622772216797,30.622085571289062,28.877256393432617,0.4134191870689392,35.327911376953125
200,12,12,156,200,660.5656127929688,258.2708435058594,513.5780639648438,22.153545379638672,11.131523132324219,19.910907745361328,30.965234756469727,35.327911376953125
200,24,12,116,176,660.742919921875,258.2719421386719,514.0950927734375,22.17073631286621,11.131525993347168,19.876789093017578,31.113082885742188,35.327911376953125
400,2,12,400,400,1344.0936279296875,973.5942993164062,1135.813720703125,27.726760864257812,26.745622634887695,26.61214828491211,4.28987979888916,35.327911376953125
400,6,12,400,400,1549.9422607421875,1183.826171875,1333.212890625,29.839162826538086,30.42302131652832,28.678194046020508,0.6124793291091919,35.327911376953125
400,12,12,156,216,660.5656127929688,258.2708435058594,513.5780639648438,22.153545379638672,11.131523132324219,19.910907745361328,30.965234756469727,35.327911376953125
400,24,12,116,176,660.742919921875,258.2719421386719,514.0950927734375,22.17073631286621,11.131525993347168,19.876789093017578,31.113082885742188,35.327911376953125
500,2,12,500,500,1153.6173095703125,778.4234008789062,954.3875732421875,26.02191925048828,23.186126708984375,25.157835006713867,8.228540420532227,35.327911376953125
500,6,12,500,500,1544.0272216796875,1177.7928466796875,1327.526123046875,29.751773834228516,30.323701858520508,28.578876495361328,0.711800754070282,35.327911376953125
500,12,12,156,216,660.5656127929688,258.2708435058594,513.5780639648438,22.153545379638672,11.131523132324219,19.910907745361328,30.965234756469727,35.327911376953125
500,24,12,116,176,660.742919921875,258.2719421386719,514.0950927734375,22.17073631286621,11.131525993347168,19.876789093017578,31.113082885742188,35.327911376953125
1000,2,12,1000,1000,660.3043823242188,258.78289794921875,511.8263244628906,22.07811164855957,11.131525993347168,20.06061553955078,30.316509246826172,35.327911376953125
1000,6,12,1000,1000,1514.8624267578125,1148.0384521484375,1299.4979248046875,29.3662109375,29.829055786132812,28.11915397644043,1.2064478397369385,35.327911376953125
1000,12,12,156,216,660.5656127929688,258.2708435058594,513.5780639648438,22.153545379638672,11.131523132324219,19.910907745361328,30.965234756469727,35.327911376953125
1000,24,12,116,176,660.742919921875,258.2719421386719,514.0950927734375,22.17073631286621,11.131525993347168,19.876789093017578,31.113082885742188,35.327911376953125
