epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true
100,2,4,100,100,0.06789611279964447,0.16367684304714203,0.05213448032736778,0.19509142637252808,0.27833646535873413,0.1619943082332611,-0.10532405227422714,0.0
100,6,4,0,60,0.029978863894939423,0.09128502011299133,0.027923859655857086,0.13757051527500153,0.18785317242145538,0.12317327409982681,0.10174272954463959,0.0
100,12,4,20,80,0.02942693419754505,0.09183525294065475,0.029987765476107597,0.14217330515384674,0.19046638906002045,0.13859650492668152,0.11513704061508179,0.0
100,24,4,9,69,0.03625994920730591,0.08466529101133347,0.03612395375967026,0.1712687909603119,0.20664174854755402,0.1682591587305069,0.16011089086532593,0.0
200,2,4,200,200,0.04458346590399742,0.12810219824314117,0.033697038888931274,0.12144138664007187,0.20468644797801971,0.08834429085254669,-0.03167401999235153,0.0
200,6,4,0,60,0.029978863894939423,0.09128502011299133,0.027923859655857086,0.13757051527500153,0.18785317242145538,0.12317327409982681,0.10174272954463959,0.0
200,12,4,20,80,0.02942693419754505,0.09183525294065475,0.029987765476107597,0.14217330515384674,0.19046638906002045,0.13859650492668152,0.11513704061508179,0.0
200,24,4,9,69,0.03625994920730591,0.08466529101133347,0.03612395375967026,0.1712687909603119,0.20664174854755402,0.1682591587305069,0.16011089086532593,0.0
400,2,4,399,400,0.0310747679322958,0.10023579001426697,0.025896761566400528,0.11452949792146683,0.17212675511837006,0.0846148207783699,0.0545634999871254,0.0
400,6,4,0,60,0.029978863894939423,0.09128502011299133,0.027923859655857086,0.13757051527500153,0.18785317242145538,0.12317327409982681,0.10174272954463959,0.0
400,12,4,20,80,0.02942693419754505,0.09183525294065475,0.029987765476107597,0.14217330515384674,0.19046638906002045,0.13859650492668152,0.11513704061508179,0.0
400,24,4,9,69,0.03625994920730591,0.08466529101133347,0.03612395375967026,0.1712687909603119,0.20664174854755402,0.1682591587305069,0.16011089086532593,0.0
500,2,4,498,500,0.03009651228785515,0.09608644992113113,0.02617928571999073,0.12383134663105011,0.17847563326358795,0.09936878085136414,0.07361016422510147,0.0
500,6,4,0,60,0.029978863894939423,0.09128502011299133,0.027923859655857086,0.13757051527500153,0.18785317242145538,0.12317327409982681,0.10174272954463959,0.0
500,12,4,20,80,0.02942693419754505,0.09183525294065475,0.029987765476107597,0.14217330515384674,0.19046638906002045,0.13859650492668152,0.11513704061508179,0.0
500,24,4,9,69,0.03625994920730591,0.08466529101133347,0.03612395375967026,0.1712687909603119,0.20664174854755402,0.1682591587305069,0.16011089086532593,0.0
1000,2,4,772,832,0.029836516827344894,0.09330781549215317,0.026920679956674576,0.13121940195560455,0.18351830542087555,0.11216934770345688,0.08873811364173889,0.0
1000,6,4,0,60,0.029978863894939423,0.09128502011299133,0.027923859655857086,0.13757051527500153,0.18785317242145538,0.12317327409982681,0.10174272954463959,0.0
1000,12,4,20,80,0.02942693419754505,0.09183525294065475,0.029987765476107597,0.14217330515384674,0.19046638906002045,0.13859650492668152,0.11513704061508179,0.0
1000,24,4,9,69,0.03625994920730591,0.08466529101133347,0.03612395375967026,0.1712687909603119,0.20664174854755402,0.1682591587305069,0.16011089086532593,0.0
