epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true
100,2,4,100,100,1592.87451171875,1227.6060791015625,1374.5106201171875,30.53825569152832,31.134225845336914,29.389400482177734,-0.09872554987668991,35.327911376953125
100,6,4,100,100,1574.495849609375,1208.8668212890625,1356.8270263671875,30.2358455657959,30.831817626953125,29.086994171142578,0.20368561148643494,35.327911376953125
100,12,4,100,100,1457.7371826171875,1089.7283935546875,1244.6563720703125,28.802385330200195,28.8350887298584,27.436431884765625,2.2004125118255615,35.327911376953125
100,24,4,87,100,660.3294677734375,258.422119140625,512.5952758789062,22.11575698852539,11.131525993347168,19.98590087890625,30.640254974365234,35.327911376953125
200,2,4,200,200,1586.7894287109375,1221.40234375,1368.6551513671875,30.4384708404541,31.034439086914062,29.28961181640625,0.0010642489651218057,35.327911376953125
200,6,4,200,200,1568.4713134765625,1202.7235107421875,1351.0318603515625,30.136056900024414,30.732027053833008,28.987201690673828,0.30347326397895813,35.327911376953125
200,12,4,179,200,660.513671875,258.2808532714844,513.406982421875,22.147510528564453,11.131523132324219,19.922883987426758,30.91334342956543,35.327911376953125
200,24,4,107,167,660.6647338867188,258.2662048339844,513.8775024414062,22.163677215576172,11.131524085998535,19.890796661376953,31.0523738861084,35.327911376953125
400,2,4,400,400,1574.7069091796875,1209.0823974609375,1357.0303955078125,30.23933982849121,30.835311889648438,29.090484619140625,0.2001902461051941,35.327911376953125
400,6,4,400,400,1556.5096435546875,1190.524658203125,1339.52783203125,29.941598892211914,30.532913208007812,28.7880859375,0.5025904178619385,35.327911376953125
400,12,4,203,263,660.6664428710938,258.2662658691406,513.8822631835938,22.16383171081543,11.1315279006958,19.89048957824707,31.05371856689453,35.327911376953125
400,24,4,107,167,660.6647338867188,258.2662048339844,513.8775024414062,22.163677215576172,11.131524085998535,19.890796661376953,31.0523738861084,35.327911376953125
500,2,4,500,500,1568.7086181640625,1202.9654541015625,1351.260009765625,30.139995574951172,30.735963821411133,28.991138458251953,0.2995365262031555,35.327911376953125
500,6,4,500,500,1550.57177734375,1184.46826171875,1333.8182373046875,29.848730087280273,30.43357276916504,28.68874740600586,0.6019302010536194,35.327911376953125
500,12,4,203,263,660.6664428710938,258.2662658691406,513.8822631835938,22.16383171081543,11.1315279006958,19.89048957824707,31.05371856689453,35.327911376953125
500,24,4,107,167,660.6647338867188,258.2662048339844,513.8775024414062,22.163677215576172,11.131524085998535,19.890796661376953,31.0523738861084,35.327911376953125
1000,2,4,1000,1000,1539.129150390625,1172.7962646484375,1322.8175048828125,29.68462371826172,30.2412052154541,28.496376037597656,0.7942983508110046,35.327911376953125
1000,6,4,1000,1000,1521.2945556640625,1154.6014404296875,1305.677734375,29.44538116455078,29.93886375427246,28.212068557739258,1.0966393947601318,35.327911376953125
1000,12,4,203,263,660.6664428710938,258.2662658691406,513.8822631835938,22.16383171081543,11.1315279006958,19.89048957824707,31.05371856689453,35.327911376953125
1000,24,4,107,167,660.6647338867188,258.2662048339844,513.8775024414062,22.163677215576172,11.131524085998535,19.890796661376953,31.0523738861084,35.327911376953125
