epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,6,98,100,0.03849521279335022,0.08630194514989853,0.0418073944747448,0.18282519280910492,0.0,10
100,6,6,4,64,0.044858418405056,0.06996000558137894,0.04057741165161133,0.01994958519935608,0.0,10
100,12,6,85,100,0.11363381147384644,0.24520014226436615,0.1623641550540924,0.6298807859420776,0.0,10
100,24,6,88,100,0.6534901261329651,0.591558039188385,0.3980410397052765,0.5316563844680786,0.0,10
200,2,6,98,158,0.03849521279335022,0.08630194514989853,0.0418073944747448,0.18282519280910492,0.0,10
200,6,6,4,64,0.044858418405056,0.06996000558137894,0.04057741165161133,0.01994958519935608,0.0,10
200,12,6,191,200,0.06863317638635635,0.1600647121667862,0.04258788004517555,0.12667599320411682,0.0,10
200,24,6,180,200,0.6556562185287476,0.586402177810669,0.383926123380661,0.41241365671157837,0.0,10
400,2,6,98,158,0.03849521279335022,0.08630194514989853,0.0418073944747448,0.18282519280910492,0.0,10
400,6,6,4,64,0.044858418405056,0.06996000558137894,0.04057741165161133,0.01994958519935608,0.0,10
400,12,6,191,251,0.06863317638635635,0.1600647121667862,0.04258788004517555,0.12667599320411682,0.0,10
400,24,6,180,240,0.6556562185287476,0.586402177810669,0.383926123380661,0.41241365671157837,0.0,10
500,2,6,98,158,0.03849521279335022,0.08630194514989853,0.0418073944747448,0.18282519280910492,0.0,10
500,6,6,4,64,0.044858418405056,0.06996000558137894,0.04057741165161133,0.01994958519935608,0.0,10
500,12,6,191,251,0.06863317638635635,0.1600647121667862,0.04258788004517555,0.12667599320411682,0.0,10
500,24,6,180,240,0.6556562185287476,0.586402177810669,0.383926123380661,0.41241365671157837,0.0,10
1000,2,6,98,158,0.03849521279335022,0.08630194514989853,0.0418073944747448,0.18282519280910492,0.0,10
1000,6,6,4,64,0.044858418405056,0.06996000558137894,0.04057741165161133,0.01994958519935608,0.0,10
1000,12,6,191,251,0.06863317638635635,0.1600647121667862,0.04258788004517555,0.12667599320411682,0.0,10
1000,24,6,180,240,0.6556562185287476,0.586402177810669,0.383926123380661,0.41241365671157837,0.0,10
