epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,6,100,100,1487.034912109375,1112.689208984375,1258.48193359375,2.13746976852417,35.327911376953125,61
100,6,6,100,100,1433.824462890625,1054.5130615234375,1198.85107421875,3.361431360244751,35.327911376953125,61
100,12,6,93,100,630.302978515625,274.7840270996094,185.78903198242188,40.968875885009766,35.327911376953125,61
100,24,6,98,100,584.3246459960938,277.4356994628906,145.23448181152344,46.15681457519531,35.327911376953125,61
200,2,6,200,200,1351.76416015625,964.4985961914062,1105.1697998046875,5.394500732421875,35.327911376953125,61
200,6,6,200,200,1116.528564453125,713.2711791992188,841.866943359375,11.84129524230957,35.327911376953125,61
200,12,6,105,165,597.7154541015625,271.66796875,163.54183959960938,43.76286315917969,35.327911376953125,61
200,24,6,119,179,594.00732421875,275.6651306152344,149.99884033203125,45.2017822265625,35.327911376953125,61
400,2,6,400,400,870.076416015625,466.8701477050781,578.7218017578125,20.126466751098633,35.327911376953125,61
400,6,6,349,400,537.7107543945312,227.7344970703125,289.1925964355469,39.87189483642578,35.327911376953125,61
400,12,6,105,165,597.7154541015625,271.66796875,163.54183959960938,43.76286315917969,35.327911376953125,61
400,24,6,119,179,594.00732421875,275.6651306152344,149.99884033203125,45.2017822265625,35.327911376953125,61
500,2,6,500,500,650.6180419921875,280.0521545410156,367.98028564453125,30.526935577392578,35.327911376953125,61
500,6,6,349,409,537.7107543945312,227.7344970703125,289.1925964355469,39.87189483642578,35.327911376953125,61
500,12,6,105,165,597.7154541015625,271.66796875,163.54183959960938,43.76286315917969,35.327911376953125,61
500,24,6,119,179,594.00732421875,275.6651306152344,149.99884033203125,45.2017822265625,35.327911376953125,61
1000,2,6,600,660,537.6445922851562,227.1095733642578,291.53192138671875,39.78596878051758,35.327911376953125,61
1000,6,6,349,409,537.7107543945312,227.7344970703125,289.1925964355469,39.87189483642578,35.327911376953125,61
1000,12,6,105,165,597.7154541015625,271.66796875,163.54183959960938,43.76286315917969,35.327911376953125,61
1000,24,6,119,179,594.00732421875,275.6651306152344,149.99884033203125,45.2017822265625,35.327911376953125,61
