epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,4,100,100,0.06789611279964447,0.16367684304714203,0.05213448032736778,-0.10532405227422714,0.0,20
100,6,4,46,100,0.0303792841732502,0.08979666233062744,0.029075227677822113,0.11308742314577103,0.0,20
100,12,4,100,100,1.614397644996643,3.4480552673339844,3.0932843685150146,-2.6491634845733643,0.0,20
100,24,4,89,100,0.2858990430831909,0.37022602558135986,0.1973206251859665,0.512706995010376,0.0,20
200,2,4,200,200,0.04458346590399742,0.12810219824314117,0.033697038888931274,-0.03167401999235153,0.0,20
200,6,4,46,106,0.0303792841732502,0.08979666233062744,0.029075227677822113,0.11308742314577103,0.0,20
200,12,4,105,165,0.04672199487686157,0.06137707829475403,0.03785860165953636,-0.007375627756118774,0.0,20
200,24,4,156,200,0.29997172951698303,0.3407127857208252,0.167228564620018,0.2422502189874649,0.0,20
400,2,4,399,400,0.0310747679322958,0.10023579001426697,0.025896761566400528,0.0545634999871254,0.0,20
400,6,4,46,106,0.0303792841732502,0.08979666233062744,0.029075227677822113,0.11308742314577103,0.0,20
400,12,4,105,165,0.04672199487686157,0.06137707829475403,0.03785860165953636,-0.007375627756118774,0.0,20
400,24,4,156,216,0.29997172951698303,0.3407127857208252,0.167228564620018,0.2422502189874649,0.0,20
500,2,4,498,500,0.03009651228785515,0.09608644992113113,0.02617928571999073,0.07361016422510147,0.0,20
500,6,4,46,106,0.0303792841732502,0.08979666233062744,0.029075227677822113,0.11308742314577103,0.0,20
500,12,4,105,165,0.04672199487686157,0.06137707829475403,0.03785860165953636,-0.007375627756118774,0.0,20
500,24,4,156,216,0.29997172951698303,0.3407127857208252,0.167228564620018,0.2422502189874649,0.0,20
1000,2,4,772,832,0.029836516827344894,0.09330781549215317,0.026920679956674576,0.08873811364173889,0.0,20
1000,6,4,46,106,0.0303792841732502,0.08979666233062744,0.029075227677822113,0.11308742314577103,0.0,20
1000,12,4,105,165,0.04672199487686157,0.06137707829475403,0.03785860165953636,-0.007375627756118774,0.0,20
1000,24,4,156,216,0.29997172951698303,0.3407127857208252,0.167228564620018,0.2422502189874649,0.0,20
