epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,2,100,100,0.2753143906593323,0.316113144159317,0.3544018566608429,0.8012721538543701,0.0,3
100,6,2,69,100,0.039470016956329346,0.0925452932715416,0.04543401300907135,0.05836844444274902,0.0,3
100,12,2,100,100,3.4039220809936523,4.449925899505615,4.7439494132995605,3.2480151653289795,0.0,3
100,24,2,76,100,0.03437546640634537,0.11178473383188248,0.037448033690452576,0.18971459567546844,0.0,3
200,2,2,200,200,0.12087580561637878,0.1524931937456131,0.15078839659690857,0.4821336269378662,0.0,3
200,6,2,69,129,0.039470016956329346,0.0925452932715416,0.04543401300907135,0.05836844444274902,0.0,3
200,12,2,200,200,0.08115630596876144,0.1434762328863144,0.11596308648586273,0.5071229934692383,0.0,3
200,24,2,76,136,0.03437546640634537,0.11178473383188248,0.037448033690452576,0.18971459567546844,0.0,3
400,2,2,397,400,0.059058431535959244,0.09363245964050293,0.0669071227312088,0.2591913342475891,0.0,3
400,6,2,69,129,0.039470016956329346,0.0925452932715416,0.04543401300907135,0.05836844444274902,0.0,3
400,12,2,249,309,0.04231931269168854,0.10777976363897324,0.04464859515428543,0.24563808739185333,0.0,3
400,24,2,76,136,0.03437546640634537,0.11178473383188248,0.037448033690452576,0.18971459567546844,0.0,3
500,2,2,499,500,0.05500061437487602,0.0917830690741539,0.06239986792206764,0.24801316857337952,0.0,3
500,6,2,69,129,0.039470016956329346,0.0925452932715416,0.04543401300907135,0.05836844444274902,0.0,3
500,12,2,249,309,0.04231931269168854,0.10777976363897324,0.04464859515428543,0.24563808739185333,0.0,3
500,24,2,76,136,0.03437546640634537,0.11178473383188248,0.037448033690452576,0.18971459567546844,0.0,3
1000,2,2,980,1000,0.039807334542274475,0.08648168295621872,0.04356973618268967,0.18962666392326355,0.0,3
1000,6,2,69,129,0.039470016956329346,0.0925452932715416,0.04543401300907135,0.05836844444274902,0.0,3
1000,12,2,249,309,0.04231931269168854,0.10777976363897324,0.04464859515428543,0.24563808739185333,0.0,3
1000,24,2,76,136,0.03437546640634537,0.11178473383188248,0.037448033690452576,0.18971459567546844,0.0,3
