epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,6,100,100,1539.3173828125,1171.388671875,1321.4708251953125,0.827440083026886,35.327911376953125,2
100,6,6,100,100,1516.3690185546875,1146.9346923828125,1298.420654296875,1.241271734237671,35.327911376953125,2
100,12,6,94,100,971.3048706054688,374.2503662109375,346.92138671875,51.20829772949219,35.327911376953125,2
100,24,6,53,100,980.588134765625,377.4921875,354.3229064941406,49.808345794677734,35.327911376953125,2
200,2,6,200,200,1489.932373046875,1117.9107666015625,1271.0018310546875,1.745063304901123,35.327911376953125,2
200,6,6,200,200,1423.6044921875,1045.7896728515625,1202.8966064453125,3.0304181575775146,35.327911376953125,2
200,12,6,200,200,960.1622314453125,368.2062072753906,343.1349182128906,51.16365432739258,35.327911376953125,2
200,24,6,200,200,968.5437622070312,372.9471435546875,345.49957275390625,51.50498580932617,35.327911376953125,2
400,2,6,400,400,1296.15576171875,906.41748046875,1070.9073486328125,5.69715690612793,35.327911376953125,2
400,6,6,400,400,976.3958740234375,555.5162963867188,734.4684448242188,14.102021217346191,35.327911376953125,2
400,12,6,397,400,853.2277221679688,295.1866455078125,346.6330261230469,44.533546447753906,35.327911376953125,2
400,24,6,388,400,608.953857421875,182.63258361816406,323.37841796875,45.84983444213867,35.327911376953125,2
500,2,6,500,500,1157.267822265625,754.6245727539062,926.5120239257812,8.949028968811035,35.327911376953125,2
500,6,6,500,500,762.0464477539062,325.91571044921875,505.7359619140625,23.095134735107422,35.327911376953125,2
500,12,6,499,500,579.2955322265625,169.2384796142578,390.73626708984375,38.217620849609375,35.327911376953125,2
500,24,6,388,448,608.953857421875,182.63258361816406,323.37841796875,45.84983444213867,35.327911376953125,2
1000,2,6,1000,1000,687.8338623046875,254.5153350830078,430.05926513671875,29.280099868774414,35.327911376953125,2
1000,6,6,680,740,678.5371704101562,246.84034729003906,411.5750427246094,32.31953430175781,35.327911376953125,2
1000,12,6,505,565,563.7124633789062,166.0746307373047,385.7630615234375,39.97174072265625,35.327911376953125,2
1000,24,6,388,448,608.953857421875,182.63258361816406,323.37841796875,45.84983444213867,35.327911376953125,2
100,2,6,100,100,1534.035400390625,1163.3560791015625,1314.462890625,0.9737718105316162,35.327911376953125,3
100,6,6,100,100,1510.446533203125,1137.146728515625,1289.9791259765625,1.4273560047149658,35.327911376953125,3
100,12,6,4,64,974.835205078125,180.68310546875,526.3465576171875,80.46471405029297,35.327911376953125,3
100,24,6,3,63,974.0184326171875,183.228515625,494.67486572265625,78.06571960449219,35.327911376953125,3
200,2,6,200,200,1476.9466552734375,1097.3326416015625,1253.198974609375,2.1314189434051514,35.327911376953125,3
200,6,6,200,200,1401.3433837890625,1009.22607421875,1171.476806640625,3.7435011863708496,35.327911376953125,3
200,12,6,4,64,974.835205078125,180.68310546875,526.3465576171875,80.46471405029297,35.327911376953125,3
200,24,6,3,63,974.0184326171875,183.228515625,494.67486572265625,78.06571960449219,35.327911376953125,3
400,2,6,400,400,1252.2877197265625,833.374267578125,1008.1513061523438,7.233506679534912,35.327911376953125,3
400,6,6,400,400,892.6126708984375,404.0579528808594,605.2363891601562,18.31195640563965,35.327911376953125,3
400,12,6,4,64,974.835205078125,180.68310546875,526.3465576171875,80.46471405029297,35.327911376953125,3
400,24,6,3,63,974.0184326171875,183.228515625,494.67486572265625,78.06571960449219,35.327911376953125,3
500,2,6,500,500,1094.67236328125,647.0977783203125,834.4143676757812,11.447090148925781,35.327911376953125,3
500,6,6,500,500,691.527587890625,169.07618713378906,374.9825439453125,29.211910247802734,35.327911376953125,3
500,12,6,4,64,974.835205078125,180.68310546875,526.3465576171875,80.46471405029297,35.327911376953125,3
500,24,6,3,63,974.0184326171875,183.228515625,494.67486572265625,78.06571960449219,35.327911376953125,3
1000,2,6,1000,1000,643.76025390625,122.7053451538086,324.38702392578125,35.09431457519531,35.327911376953125,3
1000,6,6,656,716,639.0771484375,114.39900970458984,309.57794189453125,37.521087646484375,35.327911376953125,3
1000,12,6,4,64,974.835205078125,180.68310546875,526.3465576171875,80.46471405029297,35.327911376953125,3
1000,24,6,3,63,974.0184326171875,183.228515625,494.67486572265625,78.06571960449219,35.327911376953125,3
100,2,6,100,100,1526.4285888671875,1155.04443359375,1302.64697265625,1.3299859762191772,35.327911376953125,5
100,6,6,100,100,1498.4595947265625,1123.8770751953125,1271.5557861328125,1.9741737842559814,35.327911376953125,5
100,12,6,24,84,932.72119140625,390.98291015625,297.5098876953125,64.31105041503906,35.327911376953125,5
100,24,6,41,100,945.0890502929688,394.6502685546875,297.66741943359375,63.38365936279297,35.327911376953125,5
200,2,6,200,200,1456.615478515625,1075.4154052734375,1221.346923828125,3.1336569786071777,35.327911376953125,5
200,6,6,200,200,1350.2264404296875,953.68408203125,1096.180908203125,6.105174541473389,35.327911376953125,5
200,12,6,24,84,932.72119140625,390.98291015625,297.5098876953125,64.31105041503906,35.327911376953125,5
200,24,6,41,101,945.0890502929688,394.6502685546875,297.66741943359375,63.38365936279297,35.327911376953125,5
400,2,6,400,400,1179.5294189453125,759.4468383789062,894.9429321289062,11.446614265441895,35.327911376953125,5
400,6,6,400,400,706.6647338867188,251.77642822265625,350.4920654296875,34.31840515136719,35.327911376953125,5
400,12,6,24,84,932.72119140625,390.98291015625,297.5098876953125,64.31105041503906,35.327911376953125,5
400,24,6,41,101,945.0890502929688,394.6502685546875,297.66741943359375,63.38365936279297,35.327911376953125,5
500,2,6,500,500,993.9638671875,552.3338012695312,678.2557983398438,18.312116622924805,35.327911376953125,5
500,6,6,484,500,604.3269653320312,180.2582550048828,259.46197509765625,46.700321197509766,35.327911376953125,5
500,12,6,24,84,932.72119140625,390.98291015625,297.5098876953125,64.31105041503906,35.327911376953125,5
500,24,6,41,101,945.0890502929688,394.6502685546875,297.66741943359375,63.38365936279297,35.327911376953125,5
1000,2,6,882,942,603.5288696289062,180.8773193359375,265.8093566894531,46.25033187866211,35.327911376953125,5
1000,6,6,484,544,604.3269653320312,180.2582550048828,259.46197509765625,46.700321197509766,35.327911376953125,5
1000,12,6,24,84,932.72119140625,390.98291015625,297.5098876953125,64.31105041503906,35.327911376953125,5
1000,24,6,41,101,945.0890502929688,394.6502685546875,297.66741943359375,63.38365936279297,35.327911376953125,5
100,2,6,100,100,1512.61181640625,1142.8258056640625,1287.3448486328125,1.549033522605896,35.327911376953125,10
100,6,6,100,100,1474.0706787109375,1101.8397216796875,1244.3565673828125,2.403792142868042,35.327911376953125,10
100,12,6,33,93,831.9064331054688,374.689697265625,170.0365447998047,51.021732330322266,35.327911376953125,10
100,24,6,56,100,842.0318603515625,377.1273498535156,167.75180053710938,51.54496765136719,35.327911376953125,10
200,2,6,200,200,1419.1187744140625,1042.739501953125,1180.2166748046875,3.749199867248535,35.327911376953125,10
200,6,6,200,200,1256.1910400390625,869.5188598632812,993.3070678710938,7.953395843505859,35.327911376953125,10
200,12,6,33,93,831.9064331054688,374.689697265625,170.0365447998047,51.021732330322266,35.327911376953125,10
200,24,6,56,116,842.0318603515625,377.1273498535156,167.75180053710938,51.54496765136719,35.327911376953125,10
400,2,6,400,400,1053.2359619140625,658.0015258789062,764.339599609375,13.956645011901855,35.327911376953125,10
400,6,6,400,400,564.4633178710938,214.82041931152344,276.3023986816406,39.326026916503906,35.327911376953125,10
400,12,6,33,93,831.9064331054688,374.689697265625,170.0365447998047,51.021732330322266,35.327911376953125,10
400,24,6,56,116,842.0318603515625,377.1273498535156,167.75180053710938,51.54496765136719,35.327911376953125,10
500,2,6,500,500,833.1897583007812,438.0587463378906,525.2022705078125,22.0544376373291,35.327911376953125,10
500,6,6,425,485,542.2927856445312,208.71592712402344,268.98077392578125,42.63883972167969,35.327911376953125,10
500,12,6,33,93,831.9064331054688,374.689697265625,170.0365447998047,51.021732330322266,35.327911376953125,10
500,24,6,56,116,842.0318603515625,377.1273498535156,167.75180053710938,51.54496765136719,35.327911376953125,10
1000,2,6,762,822,542.753173828125,208.36521911621094,272.87445068359375,42.411956787109375,35.327911376953125,10
1000,6,6,425,485,542.2927856445312,208.71592712402344,268.98077392578125,42.63883972167969,35.327911376953125,10
1000,12,6,33,93,831.9064331054688,374.689697265625,170.0365447998047,51.021732330322266,35.327911376953125,10
1000,24,6,56,116,842.0318603515625,377.1273498535156,167.75180053710938,51.54496765136719,35.327911376953125,10
100,2,6,100,100,1498.2745361328125,1123.652099609375,1269.74755859375,1.8859385251998901,35.327911376953125,20
