epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,6,98,100,0.037492383271455765,0.0862237811088562,0.04043692350387573,0.17727121710777283,0.0,2
100,6,6,3,63,0.030542491003870964,0.06957179307937622,0.032166533172130585,-0.0314493328332901,0.0,2
100,12,6,99,100,0.02989071235060692,0.10403425246477127,0.027138035744428635,0.06299936771392822,0.0,2
100,24,6,100,100,0.0757896676659584,0.16762231290340424,0.05947814881801605,0.18908046185970306,0.0,2
200,2,6,98,158,0.037492383271455765,0.0862237811088562,0.04043692350387573,0.17727121710777283,0.0,2
200,6,6,3,63,0.030542491003870964,0.06957179307937622,0.032166533172130585,-0.0314493328332901,0.0,2
200,12,6,200,200,0.027998780831694603,0.09893058985471725,0.025740880519151688,0.02989637851715088,0.0,2
200,24,6,200,200,0.05725802853703499,0.14330631494522095,0.04458098113536835,0.1423608660697937,0.0,2
400,2,6,98,158,0.037492383271455765,0.0862237811088562,0.04043692350387573,0.17727121710777283,0.0,2
400,6,6,3,63,0.030542491003870964,0.06957179307937622,0.032166533172130585,-0.0314493328332901,0.0,2
400,12,6,397,400,0.02688692882657051,0.09274932742118835,0.025463392958045006,0.0033142268657684326,0.0,2
400,24,6,400,400,0.03376927971839905,0.10598194599151611,0.026813803240656853,0.04526733234524727,0.0,2
500,2,6,98,158,0.037492383271455765,0.0862237811088562,0.04043692350387573,0.17727121710777283,0.0,2
500,6,6,3,63,0.030542491003870964,0.06957179307937622,0.032166533172130585,-0.0314493328332901,0.0,2
500,12,6,495,500,0.026810653507709503,0.09157246351242065,0.025528715923428535,-0.002269148826599121,0.0,2
500,24,6,500,500,0.029107587411999702,0.09565804153680801,0.024003764614462852,0.011218272149562836,0.0,2
1000,2,6,98,158,0.037492383271455765,0.0862237811088562,0.04043692350387573,0.17727121710777283,0.0,2
1000,6,6,3,63,0.030542491003870964,0.06957179307937622,0.032166533172130585,-0.0314493328332901,0.0,2
1000,12,6,985,1000,0.026683392003178596,0.09005049616098404,0.025423822924494743,-0.00954851508140564,0.0,2
1000,24,6,989,1000,0.025667117908596992,0.08103074878454208,0.02354358322918415,-0.04962737858295441,0.0,2
100,2,6,95,100,0.038202036172151566,0.08627328276634216,0.04140904173254967,0.1812363564968109,0.0,3
100,6,6,7,67,0.037103042006492615,0.07174718379974365,0.039455100893974304,-0.1529756635427475,0.0,3
100,12,6,82,100,0.03726562485098839,0.11308331042528152,0.04191456362605095,0.25001853704452515,0.0,3
100,24,6,90,100,0.11792752146720886,0.1949603408575058,0.1333722174167633,0.525781512260437,0.0,3
200,2,6,95,155,0.038202036172151566,0.08627328276634216,0.04140904173254967,0.1812363564968109,0.0,3
200,6,6,7,67,0.037103042006492615,0.07174718379974365,0.039455100893974304,-0.1529756635427475,0.0,3
200,12,6,82,142,0.03726562485098839,0.11308331042528152,0.04191456362605095,0.25001853704452515,0.0,3
200,24,6,200,200,0.0960778072476387,0.18613819777965546,0.08175504207611084,0.29328453540802,0.0,3
400,2,6,95,155,0.038202036172151566,0.08627328276634216,0.04140904173254967,0.1812363564968109,0.0,3
400,6,6,7,67,0.037103042006492615,0.07174718379974365,0.039455100893974304,-0.1529756635427475,0.0,3
400,12,6,82,142,0.03726562485098839,0.11308331042528152,0.04191456362605095,0.25001853704452515,0.0,3
400,24,6,400,400,0.06571029126644135,0.15369457006454468,0.054585155099630356,0.2127687931060791,0.0,3
500,2,6,95,155,0.038202036172151566,0.08627328276634216,0.04140904173254967,0.1812363564968109,0.0,3
500,6,6,7,67,0.037103042006492615,0.07174718379974365,0.039455100893974304,-0.1529756635427475,0.0,3
500,12,6,82,142,0.03726562485098839,0.11308331042528152,0.04191456362605095,0.25001853704452515,0.0,3
500,24,6,500,500,0.053953077644109726,0.13936078548431396,0.04428994655609131,0.17247046530246735,0.0,3
1000,2,6,95,155,0.038202036172151566,0.08627328276634216,0.04140904173254967,0.1812363564968109,0.0,3
1000,6,6,7,67,0.037103042006492615,0.07174718379974365,0.039455100893974304,-0.1529756635427475,0.0,3
1000,12,6,82,142,0.03726562485098839,0.11308331042528152,0.04191456362605095,0.25001853704452515,0.0,3
1000,24,6,1000,1000,0.03037913702428341,0.09855052828788757,0.025289349257946014,0.031321313232183456,0.0,3
100,2,6,98,100,0.037998273968696594,0.08625610917806625,0.04113110527396202,0.1801156848669052,0.0,5
100,6,6,13,73,0.04662425071001053,0.07630293816328049,0.04538670927286148,0.009864464402198792,0.0,5
100,12,6,85,100,0.04635767638683319,0.13467685878276825,0.03585837036371231,0.09903527796268463,0.0,5
100,24,6,94,100,0.20075920224189758,0.3029826283454895,0.15040770173072815,0.416897714138031,0.0,5
200,2,6,98,158,0.037998273968696594,0.08625610917806625,0.04113110527396202,0.1801156848669052,0.0,5
200,6,6,13,73,0.04662425071001053,0.07630293816328049,0.04538670927286148,0.009864464402198792,0.0,5
200,12,6,192,200,0.04544574022293091,0.13319498300552368,0.035844530910253525,0.10823340713977814,0.0,5
