epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,4,100,100,1592.87451171875,1227.6060791015625,1374.5106201171875,-0.09872554987668991,35.327911376953125,3
100,6,4,100,100,1574.5101318359375,1208.881591796875,1356.8409423828125,0.20344692468643188,35.327911376953125,3
100,12,4,98,100,786.1231079101562,130.77197265625,274.6630859375,63.01962661743164,35.327911376953125,3
100,24,4,87,100,787.2214965820312,131.25672912597656,286.80694580078125,64.9517593383789,35.327911376953125,3
200,2,4,200,200,1586.7894287109375,1221.40234375,1368.6551513671875,0.0010642489651218057,35.327911376953125,3
200,6,4,200,200,1568.490234375,1202.742919921875,1351.0501708984375,0.30315840244293213,35.327911376953125,3
200,12,4,138,198,784.6522827148438,130.29962158203125,279.49212646484375,63.900699615478516,35.327911376953125,3
200,24,4,200,200,780.3585815429688,129.56851196289062,284.5959167480469,64.96357727050781,35.327911376953125,3
400,2,4,400,400,1574.7069091796875,1209.0823974609375,1357.0303955078125,0.2001902461051941,35.327911376953125,3
400,6,4,400,400,1556.5328369140625,1190.5482177734375,1339.5499267578125,0.5022046566009521,35.327911376953125,3
400,12,4,138,198,784.6522827148438,130.29962158203125,279.49212646484375,63.900699615478516,35.327911376953125,3
400,24,4,398,400,745.5450439453125,117.4260482788086,238.53964233398438,59.56940460205078,35.327911376953125,3
500,2,4,500,500,1568.7086181640625,1202.9654541015625,1351.260009765625,0.2995365262031555,35.327911376953125,3
500,6,4,500,500,1550.595947265625,1184.4930419921875,1333.84130859375,0.6015234589576721,35.327911376953125,3
500,12,4,138,198,784.6522827148438,130.29962158203125,279.49212646484375,63.900699615478516,35.327911376953125,3
500,24,4,499,500,675.5455322265625,98.53323364257812,208.32785034179688,53.25699996948242,35.327911376953125,3
1000,2,4,1000,1000,1539.129150390625,1172.7962646484375,1322.8175048828125,0.7942983508110046,35.327911376953125,3
1000,6,4,1000,1000,1521.32177734375,1154.629150390625,1305.7037353515625,1.0961767435073853,35.327911376953125,3
1000,12,4,138,198,784.6522827148438,130.29962158203125,279.49212646484375,63.900699615478516,35.327911376953125,3
1000,24,4,525,585,661.1902465820312,96.59925079345703,211.04293823242188,50.09684371948242,35.327911376953125,3
